date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide
2022-09-30,46.625,32.02916666666667,1006.7083333333334,47.0875,32.0,58.28333333333333
2022-10-01,55.12083333333334,37.975,1120.0416666666667,53.0625,28.291666666666668,49.02916666666667
2022-10-02,78.69166666666666,54.74166666666667,1414.5,74.53333333333333,22.666666666666668,77.9875
2022-10-03,94.475,65.88333333333334,1812.25,90.10833333333332,17.833333333333332,108.56666666666666
2022-10-04,45.30416666666667,31.6125,928.9166666666666,59.42083333333333,27.125,57.00833333333333
2022-10-05,25.104166666666668,15.833333333333334,492.0833333333333,32.916666666666664,51.833333333333336,27.816666666666663
2022-10-06,28.383333333333336,18.416666666666668,569.3333333333334,37.7375,62.083333333333336,29.954166666666666
2022-10-07,30.195833333333336,19.7,538.0416666666666,33.979166666666664,46.708333333333336,33.81666666666667
2022-10-08,20.691666666666663,13.658333333333331,496.9583333333333,27.704166666666666,21.08333333333333,31.1625
2022-10-09,23.64583333333333,15.125,490.9166666666667,26.375,27.45833333333333,26.679166666666664
2022-10-10,38.56666666666667,25.71666666666667,972.5833333333334,25.52916666666667,27.5,52.49583333333334
2022-10-11,45.88333333333333,31.1625,1266.4166666666667,25.725,24.33333333333333,60.05
2022-10-12,46.09583333333333,31.21666666666667,1105.1666666666667,28.35,26.416666666666668,53.7125
2022-10-13,51.25416666666666,35.25416666666667,1040.8333333333333,52.425,29.916666666666668,86.49583333333334
2022-10-14,26.48333333333333,17.76666666666667,570.0,38.50833333333333,24.83333333333333,35.8125
2022-10-15,18.320833333333333,11.766666666666666,392.375,22.04583333333333,21.875,31.808333333333334
2022-10-16,30.425,20.229166666666668,674.0833333333334,24.329166666666666,21.125,44.2
2022-10-17,63.3875,42.9125,1444.8333333333333,41.5,47.25,63.82083333333333
2022-10-18,86.6375,58.475,1687.4166666666667,66.97083333333333,55.04166666666666,77.64166666666667
2022-10-19,56.97083333333333,37.66666666666666,797.5833333333334,52.74166666666667,67.75,39.44166666666667
2022-10-20,66.27083333333333,43.4375,878.875,53.48333333333333,80.70833333333333,41.63333333333333
2022-10-21,75.59166666666667,49.67916666666667,742.8333333333334,54.05,97.625,42.45
2022-10-22,69.75,47.62916666666666,1003.25,58.6,76.375,52.35416666666666
2022-10-23,68.4375,47.5875,1224.5416666666667,69.25,42.54166666666666,50.24583333333334
2022-10-24,78.625,54.38333333333333,1511.4583333333333,64.97916666666667,50.16666666666666,64.0625
2022-10-25,102.5625,70.20416666666667,2078.875,59.4875,72.83333333333333,97.02083333333331
2022-10-26,117.2625,78.27083333333333,2604.458333333333,58.80416666666667,67.625,111.50416666666666
2022-10-27,90.14583333333331,60.04583333333333,1786.0416666666667,57.9125,58.833333333333336,71.12083333333334
2022-10-28,87.60833333333333,57.59166666666667,1609.5416666666667,55.51666666666667,77.375,68.32083333333334
2022-10-29,105.94583333333333,71.49166666666666,1853.7916666666667,59.625,70.5,75.19583333333334
2022-10-30,100.80416666666667,68.10416666666667,1775.8333333333333,63.48333333333333,64.95833333333333,68.50833333333334
2022-10-31,94.35416666666669,63.03333333333333,1573.6666666666667,61.74166666666667,76.54166666666667,62.675
2022-11-01,75.07083333333334,49.5625,1121.875,59.22916666666666,73.29166666666667,52.69583333333333
2022-11-02,87.37083333333334,58.96666666666667,1506.4166666666667,59.36666666666667,75.29166666666667,66.33749999999999
2022-11-03,81.31666666666666,52.10416666666666,1316.0833333333333,60.76666666666667,80.125,59.62916666666666
2022-11-04,93.8375,62.1375,1615.5416666666667,61.11666666666667,73.83333333333333,71.97916666666667
2022-11-05,109.55416666666667,71.54583333333333,1879.0833333333333,60.47916666666666,63.29166666666666,84.07083333333334
2022-11-06,126.625,80.49583333333334,2065.0,56.75,74.5,83.41250000000001
2022-11-07,130.57083333333333,83.55416666666666,2100.875,63.89166666666667,60.29166666666666,98.28333333333336
2022-11-08,117.4375,75.45,1966.5833333333333,57.2375,61.91666666666666,75.8
2022-11-09,91.42916666666667,57.7125,1196.2083333333333,61.1875,60.75,49.42916666666667
2022-11-10,80.04166666666667,51.50833333333333,807.7916666666666,58.62916666666666,92.08333333333331,41.0
2022-11-11,71.72500000000001,46.45,671.7916666666666,52.1,106.5,39.270833333333336
2022-11-12,85.27499999999999,55.15833333333333,924.2083333333334,52.17083333333333,99.20833333333331,46.90833333333333
2022-11-13,100.4,66.37916666666666,1168.8333333333333,57.91666666666666,82.66666666666667,58.520833333333336
2022-11-14,108.37083333333334,71.3625,1342.4583333333333,54.44583333333333,74.83333333333333,63.69583333333333
2022-11-15,133.07916666666668,89.65416666666665,2179.75,58.4,70.95833333333333,95.70416666666668
2022-11-16,129.225,87.14583333333333,2426.958333333333,66.33333333333333,61.875,99.125
2022-11-17,111.66666666666669,74.14999999999999,1553.8333333333333,63.645833333333336,71.75,73.99166666666666
2022-11-18,75.84166666666667,50.25833333333333,872.875,59.075,78.58333333333333,48.7125
2022-11-19,69.4375,46.725,621.0,49.85833333333333,87.5,43.85416666666666
2022-11-20,76.0125,51.25416666666666,744.9166666666666,57.3,73.04166666666667,46.32916666666667
